id,ลำดับ,ประมาณการติดตั้ง Solar cell,KW_PK,ตรวจสอบสถานที่,ชื่อโรงเรียน,ที่อยู่,ชื่อตำบล,ชื่ออำเภอ,ชื่อจังหวัด,รหัสไปรษณีย์,จำนวนนักเรียน,ภาค,สังกัด,เขต,กฟภ,อัตรา,CA,Status,status_date,activity,activity_date,การติดต่อ 15%,การเจรจา 30%,ความสนใจ 30%,กำลังติดตั้ง 25%,Score 10คะแนน,การดำเนินงาน,E-mail,วันที่ดำเนินการ,ดำเนินการโดย,ชื่อผู้ประสานงานโรงเรียน,ตำแหน่ง,เบอร์ติดต่อผู้ประสานงาน,ชื่อผู้อำนวยการโรงเรียน,เบอร์ติดต่อ ผอ.,ค่าฟ้าเฉลี่ย/เดือน,สถานะดำเนินการของ กฟภ.,ผู้ลงทุน,กลุ่มขนาดติดตั้ง,ชื่อผู้ติดต่อสังกัดสถานศึกษา,เบอร์โทรองค์กรสังกัดสถานศึกษา,เลขที่,วันที่,เลขที่ ศธ,วันที่ตอบกลับ,เลขที่ใบปะหน้า,วันที่ใบปะหน้า,เลขที่หนังสือ,วันที่หนังสือ,เลขที่ ศธ ข้อเสนอ,วันที่ข้อเสนอ,Simulation,ข้อเสนอโครงการ,ข้อเสนอโครงการที่ออกจาก PEA,PEA,Focus,อาจารย์โจ้,check,Latitude,Longitude,chk,statusArr,activityArr,meterArr,รวมKW_PK,ความเข้าใจในโมเดล ESCO (10%),ระดับความร่วมมือของโรงเรียน (10%),การตัดสินใจและอำนาจภายใน (10%),ความพร้อมในการให้ข้อมูล (10%),การค้างค่าไฟฟ้า (10%),หมายเหตุของโรงเรียน,พื้นที่ติดตั้งที่มีอยู่ (10%),สภาพวัสดุมุงหลังคา (10%),สภาพโครงสร้าง (10%),จุดเชื่อมต่อและการเดินสายไฟ (10%),การเข้าถึงหน้างาน (10%),หมายเหตุของพื้นที่,รวมคะแนน,link หนังสือเชิญ,link หนังสือตอบรับข้อเสนอ,link ข้อเสนอโครงการ,
47,102,70,67.57,,โรงเรียนเทศบาล 5,8/2 ถนนแสงชูโต,บ้านเหนือ,เมืองกาญจนบุรี,กาญจนบุรี,71000,ไม่พบ,ตะวันตก,เทศบาลเมือง,,กฟก.3,3224,20003302660,,,,,,,,,,,,,,,,,,,53767.82,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,14.01814202,99.53507739,File original,,,,,,,,,,,,,,,,,,,,,
48,103,80,70.08,,โรงเรียนไทรโยคมณีกาญจน์วิทยา,50 หมู่ 1,ลุ่มสุ่ม,ไทรโยค,กาญจนบุรี,71150,1224,ตะวันตก,สพม.กาญจนบุรี,,กฟก.3,3224,20003293469,,,,,,,,,,,,,,,,,,,60586.15,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,14.1208935,99.1422292,File original,,,,,,,,,,,,,,,,,,,,,
49,104,110,102.38,,โรงเรียนบ่อพลอยรัชดาภิเษก,567 หมู่ 1,บ่อพลอย,บ่อพลอย,กาญจนบุรี,71160,1221,ตะวันตก,สพม.กาญจนบุรี,,กฟก.3,3224,20003357144,ติดต่อใหม่-เบอร์ติดต่อไม่ได้,,,,,,,,#VALUE!,Borphloi2514@gmail.com,Borphloi2514@gmail.com,,หมิง,,,034-581235,,081-1957663,,#N/A,#N/A,กลางเล็ก,นายไพชยา พิมพ์สารี,034-521118,,,,,,,,,,,Nop,,,1,M000006,,ไม่ซ้ำ,14.3270022,99.5205589,File Phat,,,,,,,,,,,,,,,,,,,,,
50,106,70,62.19,,โรงเรียนเลาขวัญราษฎร์บำรุง,ม.1,เลาขวัญ,เลาขวัญ,กาญจนบุรี,71210,989,ตะวันตก,สพม.กาญจนบุรี,,กฟก.3,3224,20002999442,,,,,,,,,,,,,,,,,,,51081.56,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,14.6223352,99.766101,File original,,,,,,,,,,,,,,,,,,,,,
51,107,600,599.62,,โรงเรียนวิสุทธรังษี จังหวัดกาญจนบุรี,เลขที่ 32,ท่าล้อ,ท่าม่วง,กาญจนบุรี,71000,4228,ตะวันตก,สพม.กาญจนบุรี,,กฟก.3,3224,20002858390,ติดต่อใหม่-ไม่มีคนรับสาย,,,,,,,,#VALUE!,visut_info@visut.ac.th,visut_info@visut.ac.th,,หมิง,,,034-511773,,,,#N/A,#N/A,ใหญ่มาก,นายไพชยา พิมพ์สารี,034-521118,,,,,,,,,,,Nop,,,1,M000001,,ไม่ซ้ำ,,,"File Phat,add",,,,,,,,,,,,,,,,,,,,,
52,109,80,75.1,,โรงเรียนอนุบาลวัดไชยชุมพลชนะสงคราม,181 ซอย ไชยชุมพล,บ้านใต้,เมืองกาญจนบุรี,กาญจนบุรี,71000,841,ตะวันตก,สพป.กาญจนบุรี,1,กฟก.3,3224,20003302988,,,,,,,,,,,,,,,,,,,54142.95,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,14.015133,99.5322756,File original,,,,,,,,,,,,,,,,,,,,,
53,110,100,91.13,,โรงเรียนอนุบาลวัดลูกแกประชาชนูทิศ,47 หมู่ที่ 7 ถนนแสงชูโต,ดอนขมิ้น,ท่ามะกา,กาญจนบุรี,71120,1242,ตะวันตก,สพป.กาญจนบุรี,2,กฟก.3,3224,20019069934,สนใจ,,ส่งหนังสือเชิญ,,,,,,#VALUE!,watlukkae@hotmail.com,watlukkae@hotmail.com,,หมิง,,,034-566102,,090-4369429,ค่าไฟน้อย,#N/A,#N/A,กลางเล็ก,นายสุริยา ทองบุญมา,034-579234,,,,,,,,,,,,,,1,M000008,,ไม่ซ้ำ,,,"File Phat,add",,,,,,,,,,,,,,,,,,,,,
54,111,100,91.13,,โรงเรียนอนุบาลวัดลูกแกประชาชนูทิศ,ม.7,ดอนขมิ้น,ท่ามะกา,กาญจนบุรี,71120,1242,ตะวันตก,สพป.กาญจนบุรี,2,กฟก.3,3224,20019069934,,,,,,,,,,,,,,,,,,,63992.6,#N/A,i2,กลางเล็ก,,,,,,,,,,,,,,,,,,,,13.871353,99.8158719,File original,,,,,,,,,,,,,,,,,,,,,
55,112,70,61.35,,โรงเรียนอนุบาลสังขละบุรี (บ้านวังกะ),ม.3,หนองลู,สังขละบุรี,กาญจนบุรี,71240,1744,ตะวันตก,สพป.กาญจนบุรี,3,กฟก.3,3224,20002968846,,,,,,,,,,,,,,,,,,,48179.06,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,15.153759,98.4517206,File original,,,,,,,,,,,,,,,,,,,,,
56,114,240,233.4,,โรงเรียนกมลาไสย,ถนนกมลาไสย-มหาสารคาม,กมลาไสย,กมลาไสย,กาฬสินธุ์,46130,2309,ตะวันออกเฉียงเหนือ,สพม.กาฬสินธุ์,,กฟฉ.2,3224,20011509460,สนใจ,,ส่งหนังสือเชิญแล้ว-อีเมลล์,,,,,,#VALUE!,ส่งหนังสือเชิญทางเมลวันที่ 5/6/68,palmswanan99@gmail.com,05-06-25,หมิง,065-8631506 ครูปาร์ม,ครูู,043-899037,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.3352053,103.573129,File Phat,,,,,,,,,,,,,,,,,,,,,
57,115,90,83.75,,โรงเรียนกาญจนาภิเษกวิทยาลัย กาฬสินธุ์,เลขที่ 99 หมู่ 16,คุ้มเก่า,เขาวง,กาฬสินธุ์,46160,380,ตะวันออกเฉียงเหนือ,สพม.กาฬสินธุ์,,กฟฉ.2,3224,20012327545,,,,,,,,,,,,,,,,,,,91566.29,,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.7038292,104.0917516,File original,,,"[{""ca"":""20012327545"",""kw_pk"":""79.38"",""rate"":""3224""}]",79.38,,,,,,,,,,,,,0,,,,
58,116,90,85.44,,โรงเรียนกาฬสินธุ์ปัญญานุกูล,โรงเรียนกาฬสินธุ์ปัญญานุกูล,ดอนสมบูรณ์,ยางตลาด,กาฬสินธุ์,46120,433,ตะวันออกเฉียงเหนือ,สศศ.,,กฟฉ.2,3224,20011572287,,,,,,,,,,,,,,,,,,,120550.01,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.4148585,103.4172778,File original,,,,,,,,,,,,,,,,,,,,,
59,117,60,55.98,,โรงเรียนกาฬสินธุ์พิทยาสัย,ถ.ภิรมย์,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,46000,1690,ตะวันออกเฉียงเหนือ,สพป.กาฬสินธุ์,1,กฟฉ.2,3224,20019291831,,,,,,,,,,,,,,,,,,,51889.53,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.4284907,103.5078621,File original,,,,,,,,,,,,,,,,,,,,,
60,119,90,87.81,,โรงเรียนคำม่วง,บ้านพักครูหลังที่,ทุ่งคลอง,คำม่วง,กาฬสินธุ์,46180,1639,ตะวันออกเฉียงเหนือ,สพม.กาฬสินธุ์,,กฟฉ.2,3224,20010870032,,,,,,,,,,,,,,,,,,,63934.2,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.914595,103.6308309,File original,,,,,,,,,,,,,,,,,,,,,
61,120,60,59.71,,โรงเรียนท่าคันโทวิทยาคาร,130 หมู่ 5 ถนนท่าคันโท-วังสามหมอ,ท่าคันโท,ท่าคันโท,กาฬสินธุ์,46190,884,ตะวันออกเฉียงเหนือ,สพม.กาฬสินธุ์,,กฟฉ.2,3224,20012601277,,,,,,,,,,,,,,,,,,,51454.45,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.9324366,103.2292088,File original,,,,,,,,,,,,,,,,,,,,,
62,121,70,61.83,,โรงเรียนบ้านนาคูพัฒนา 'กรป.กลางอุปถัมภ์',บ.นาคู,นาคู,นาคู,กาฬสินธุ์,46160,589,ตะวันออกเฉียงเหนือ,สพม.กาฬสินธุ์,,กฟฉ.2,3224,20011787088,,,,,,,,,,,,,,,,,,,47429.91,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.7587017,104.0347297,File original,,,,,,,,,,,,,,,,,,,,,
63,122,250,247.6,,โรงเรียนบัวขาว,250 หมู่ 12 ถนนบัวขาว-เขาวง,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,46110,ไม่พบ,ตะวันออกเฉียงเหนือ,อบจ.,,กฟฉ.2,3224,20011392391,สนใจ,,ส่งหนังสือเชิญแล้ว-อีเมลล์,,,,,,#VALUE!,ส่งหนังสือเชิญทางไลน์วันที่ 5/6/68,,05-06-25,หมิง, ครูวาสนา,ครู,090-3749131,,,,,#N/A,,,,,,,,,,,,,,,,,1,,,ไม่ซ้ำ,16.5527609,104.0548709,File Phat,"[{""status"":""สนใจนำเสนอโครงการ"",""date"":""2025-06-05""}]","[{""activity"":""ส่งหนังสือเชิญแล้ว-ไลน์"",""date"":""2025-06-05""}]","[{""ca"":""20011392391"",""kw_pk"":""247.6"",""rate"":""3224""}]",247.6,,,,,,,,,,,,,0,,,,
64,123,90,81.34,,โรงเรียนบ้านบัวขาว(วันครู 2500),5 บ.บัวขาว ม.1,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,46110,1160,ตะวันออกเฉียงเหนือ,สพป.กาฬสินธุ์,3,กฟฉ.2,3224,20011359061,,,,,,,,,,,,,,,,,,,50813.23,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.5382591,104.0556702,File original,,,,,,,,,,,,,,,,,,,,,
65,124,140,134.15,,โรงเรียนเมืองกาฬสินธุ์,ถ.อรรถเปศล ถ.อรรถเปศล,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,46000,1653,ตะวันออกเฉียงเหนือ,สพม.กาฬสินธุ์,,กฟฉ.2,3224,20011579062,,,,,,,,,,,,,,นางอโนมา เย็นใจ,ครู,095-6597787,นายชูชัย ประทุมนันธ์,,97948.62,,i2,กลางเล็ก,,,2440,2024-06-19,๐๔๒๙๓.๓๗/๓๐๓,2024-06-11,,,,,,,,,,,,,,16.4273789,103.5112167,File original,"[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-06-11""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""""}]","[{""ca"":""20011579062"",""kw_pk"":""120.96"",""rate"":""3224""}]",120.96,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/EV8EwLoKsIlMsMOOxny8HWcBE0kFQYcfgWCuFPL0o6G4mw?e=PgtSaS,,,
66,125,210,209.07,,โรงเรียนร่องคำ,100 ถนนขอนแก่น - โพนทอง,ร่องคำ,ร่องคำ,กาฬสินธุ์,46210,2316,ตะวันออกเฉียงเหนือ,สพม.กาฬสินธุ์,,กฟฉ.2,3224,20012147797,ติดต่อใหม่-ไม่มีคนรับสาย,,,,,,,,#VALUE!,rongkham@rks.ac.th,rongkham@rks.ac.th,,หมิง,,,043-897030,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.2687707,103.7417993,File Phat,,,,,,,,,,,,,,,,,,,,,
67,126,50,49.07,,โรงเรียนลำปาววิทยาคม,117 หมู่ที่ 13 ถนนถีนานนท์,ดอนสมบูรณ์,ยางตลาด,กาฬสินธุ์,46120,ไม่พบ,ตะวันออกเฉียงเหนือ,อบจ.,,กฟฉ.2,3224,20011610016,,,,,,,,,,,,,,,,,,,49916.97,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.4061965,103.4176318,File original,,,,,,,,,,,,,,,,,,,,,
68,127,240,233.87,,โรงเรียนสมเด็จพิทยาคม,219 หมู่ 4 ถ.ศรีสมเด็จ,สมเด็จ,สมเด็จ,กาฬสินธุ์,46150,2882,ตะวันออกเฉียงเหนือ,สพม.กาฬสินธุ์,,กฟฉ.2,3224,20010957812,ติดต่อใหม่-เบอร์ติดต่อไม่ได้,,,,,,,,#VALUE!,admin@somdetpit.ca.th,admin@somdetpit.ca.th,,หมิง,,,043-861137,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.7093761,103.7479919,File Phat,,,,,,,,,,,,,,,,,,,,,
69,128,70,66.39,,โรงเรียนหนองกุงศรีวิทยาคาร,ถนนหนองกุงศรี-ท่าคันโท,หนองกุงศรี,หนองกุงศรี,กาฬสินธุ์,46220,974,ตะวันออกเฉียงเหนือ,สพม.กาฬสินธุ์,,กฟฉ.2,3224,20012628494,,,,,,,,,,,,,,,,,,,56987.88,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.648368,103.296743,File original,,,,,,,,,,,,,,,,,,,,,
70,130,220,217.47,,โรงเรียนอนุบาลกาฬสินธุ์,155 ภิรมย์,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,46000,1361,ตะวันออกเฉียงเหนือ,สพป.กาฬสินธุ์,1,กฟฉ.2,3224,20011598438,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,ไม่เข้าร่วมโครงการ,,,,,,#VALUE!,มีเจ้าหน้าที่ติดต่อไปเมื่อ 2 ปีที่แล้ว,,,หมิง,093-1698558 รองนภัทรชนก,,043-812850,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.4276185,103.5089062,File Phat,,,,,,,,,,,,,,,,,,,,,
71,132,150,144.25,,โรงเรียนขาณุวิทยา,341 หมู่ที่ 2,แสนตอ,ขาณุวรลักษบุรี,กำแพงเพชร,62130,2185,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20009828566,ส่งข้อเสนอโครงการและร่างสัญญา,,นัดหมายเพื่อนำเสนอโครงการ+สำรวจ,,6,5,6,2,4.7,เคยเซ็นสัญญากับ กฟน.,,8-11 Apr,ออมสิน,นายภูมินทร์ นาคเมือง,ครู งานอาคาร-สถานที่,097-0780911,นายปุณณวิช แก้วปัน,,,,I2,,นายวันชัย เกิดมีโภชน์,056-713763-4,879,2024-03-01,๐๔๒๙๔.๒๓/๑๒๓,2024-02-23,๕๓๐๓.๑๐/๔๓๔๕๘,2024-06-13,,,,,Nop,Nop,45473,1,M000388,อาจารย์โจ้,ไม่ซ้ำ,,,"File Phat,add","[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-02-23""},{""status"":""กฟภ. ส่งข้อเสนอโครงการ+ร่างสัญญา"",""date"":""2024-06-13""},{""status"":""นำเสนอข้อเสนอโครงการ"",""date"":""2024-09-09""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""""}]","[{""ca"":""20009828566"",""kw_pk"":""144.25"",""rate"":""3224""}]",144.25,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/EdBg_BKzA5FKtQQ9J5J73ksBWjuxBe6B7dF5HERlaSJIHg?e=Ua6tln,,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_moevedigital_com/Em-UhgwnjPRNn0jZwYZzHRMBDHIWS8ybwibJ1FX298ravA?e=7WuVPm,
72,133,70,66.45,,โรงเรียนคณฑีพิทยาคม,999 หมู่ 9,คณฑี,เมืองกำแพงเพชร,กำแพงเพชร,62000,511,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20009503380,,,,,,,,,,,,,,,,,,,54180.7,#N/A,SJP,เล็ก,,,,,,,,,,,,,,,,,,,,16.3664674,99.6224185,File original,,,,,,,,,,,,,,,,,,,,,
73,134,140,130.86,,โรงเรียนคลองขลุงราษฎร์รังสรรค์,640 หมู่ 2 ถ. พหลโยธิน,คลองขลุง,คลองขลุง,กำแพงเพชร,62120,1614,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20010637424,ส่งข้อเสนอโครงการและร่างสัญญา,,นัดหมายเพื่อนำเสนอโครงการ+สำรวจ,,6,5,6,2,4.7,สัญญาระยะยาวไป ในสัญญาผู้รับผิดชอบค่าซ่อมบำรุง ผอ.ดูเป็นคนวัยรุ่นหัวแข็ง,,8-11 Apr,ออมสิน,นายสุรชัช เมฆประยูร,รองผู้อำนวยการสถานศึกษา,098-4044057,ว่าที่ร้อยตรีบุญเพชร ด้วงมูล (รักษาการในตำแหน่ง),,,,I2,,นายวันชัย เกิดมีโภชน์,056-713763-4,880,2024-06-01,๐๔๒๙๔.๒๐/๑๒๐,2024-02-23,๕๓๐๓.๑๐/๔๕๖๘๘,2024-06-28,,,,,Nop,Nop,45473,1,M000389,อาจารย์โจ้,ไม่ซ้ำ,,,"File Phat,add","[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-02-23""},{""status"":""กฟภ. ส่งข้อเสนอโครงการ+ร่างสัญญา"",""date"":""2024-06-28""},{""status"":""นำเสนอข้อเสนอโครงการ"",""date"":""2024-07-09""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""""}]","[{""ca"":""20010637424"",""kw_pk"":""130.86"",""rate"":""3224""}]",130.86,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/ESzCgKSyjzxDsXd6HhY8hSQBBsEPzafmwBLNUD1mhs0cyg?e=62iVeF,,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_moevedigital_com/EkmFO_8uwS1IoP1f_Rc8oQQBzDQwhThdF6RbhfwFLD3FFA?e=hDuORz,
74,136,80,75.32,,โรงเรียนโค้งไผ่วิทยา,163 ม.1,โค้งไผ่,ขาณุวรลักษบุรี,กำแพงเพชร,62140,629,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20009800305,,,,,,,,,,,,,,,,,,,55586.31,#N/A,SJP,เล็ก,,,,,,,,,,,,,,,,,,,,16.1048208,99.7223881,File original,,,,,,,,,,,,,,,,,,,,,
75,137,70,66.28,,โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ กำแพงเพชร,27 หมู่ 16 ถนนกำแพงเพชร-ท่ามะเขือ,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,62000,600,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20010650730,,,,,,,,,,,,,,,,,,,64153.81,#N/A,SJP,เล็ก,,,,,,,,,,,,,,,,,,,,13.99870905,99.57322519,File original,,,,,,,,,,,,,,,,,,,,,
76,138,90,85.33,,โรงเรียนทุ่งทรายวิทยา,72 หมู่ 15 บ้านทุ่งทราย,ทุ่งทราย,ทรายทองวัฒนา,กำแพงเพชร,62190,1345,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20010134919,ส่งข้อเสนอโครงการและร่างสัญญา,,นัดหมายเพื่อนำเสนอโครงการ+สำรวจ,,6,5,6,1,4.5,ผอ.แจ้งว่าค่าไฟลดน้อยเกินไป ไม่ผ่านคณะกรรมทั้ง2รอบ เช็คอีกทีอาจเปลี่ยนผอ.ใหม่สิ้นปี,,8-11 Apr,ออมสิน,นายณัฐปกรณ์ เอี่ยมแดง,ผู้อำนวยการสถานศึกษา,093-1393403,นายณัฐปกรณ์ เอี่ยมแดง,,,,I2,,,,884,2024-03-01,๐๔๒๙๑.๓๑/๐๘๒,2024-02-23,๕๓๐๓.๑๐/๔๕๖๘๙,2024-06-28,,,,,Nop,Nop,45473,1,,อาจารย์โจ้,ไม่ซ้ำ,,,"File Phat,add","[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-02-23""},{""status"":""กฟภ. ส่งข้อเสนอโครงการ+ร่างสัญญา"",""date"":""2024-06-28""},{""status"":""นำเสนอข้อเสนอโครงการ"",""date"":""2024-07-09""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""""}]","[{""ca"":""20010134919"",""kw_pk"":""85.33"",""rate"":""3224""}]",85.33,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/EYemeQ4scbxKsvtyM5mhIYUBZ5T47qI3l1ix2IEB0CPhiA?e=CYZzmh,,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/EYemeQ4scbxKsvtyM5mhIYUBZ5T47qI3l1ix2IEB0CPhiA?e=CYZzmh,
77,139,70,65.41,,โรงเรียนทุ่งโพธิ์ทะเลพิทยา,289 หมู่ที่ 7 ถนนกำแพง-พิจิตร บ้านแปดอ้อม,นิคมทุ่งโพธิ์ทะเล,เมืองกำแพงเพชร,กำแพงเพชร,62000,712,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20010701896,,,,,,,,,,,,,,,,,,,47468.91,#N/A,SJP,เล็ก,,,,,,,,,,,,,,,,,,,,16.4900452,99.7091611,File original,,,,,,,,,,,,,,,,,,,,,
78,140,80,78.1,,โรงเรียนไทรงามพิทยาคม,39 หมู่ 3,ไทรงาม,ไทรงาม,กำแพงเพชร,62150,913,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20009890873,,,,,,,,,,,,,,,,,,,63751.2,#N/A,SJP,เล็ก,,,,,,,,,,,,,,,,,,,,16.4921073,99.9095382,File original,,,,,,,,,,,,,,,,,,,,,
79,142,60,54.44,,โรงเรียนปางศิลาทองศึกษา,107 หมู่ที่ 17 บ้านมอแสงทอง,โพธิ์ทอง,ปางศิลาทอง,กำแพงเพชร,62120,1078,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20009704850,ส่งข้อเสนอโครงการและร่างสัญญา,,นัดหมายเพื่อนำเสนอโครงการ+สำรวจ,,6,5,6,1,4.5,หลังจากเข้าประชุม ผอ.ยังไม่สนใจเข้าร่วม,,8-11 Apr,ออมสิน,ว่าที่ร้อยตรีวิชาญชัย ซังหยง,ครู,090-0576489,นายพิเชตร์ บัวเถื่อน,,,,I2,,,,878,2024-03-01,๐๔๒๙๔.๓๐/๐๘๓,2024-02-27,๕๓๐๓.๑๐/๔๕๐๑๙,2024-06-25,,,,,Nop,Nop,45473,1,,อาจารย์โจ้,ไม่ซ้ำ,,,"File Phat,add","[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-02-27""},{""status"":""กฟภ. ส่งข้อเสนอโครงการ+ร่างสัญญา"",""date"":""2024-06-25""},{""status"":""นำเสนอข้อเสนอโครงการ"",""date"":""2024-07-09""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""""}]","[{""ca"":""20009704850"",""kw_pk"":""54.44"",""rate"":""3224""}]",54.44,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_moevedigital_com/EgH44urLuzpBoCiwIk2WFEcBTgtQ11jrMZBwk5Vmp-AR3A?e=lzH9IQ,,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_moevedigital_com/EgH44urLuzpBoCiwIk2WFEcBTgtQ11jrMZBwk5Vmp-AR3A?e=lzH9IQ,
80,143,150,144.71,,โรงเรียนพรานกระต่ายพิทยาคม,เลขที่ 118 ถนนกำแพงเพชร - สุโขทัย,ถ้ำกระต่ายทอง,พรานกระต่าย,กำแพงเพชร,62110,1816,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20010460229,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,,,,,,,#VALUE!,pp@prankratai.ac.th,pp@prankratai.ac.th,,หมิง,083-9535741 ครูชูชาติ,,055-775655,,,,#N/A,#N/A,,นายวันชัย เกิดมีโภชน์,056-713763-4,,,,,,,,,,,Nop,,,1,M000391,,ไม่ซ้ำ,16.6813378,99.5974555,File Phat,,,,,,,,,,,,,,,,,,,,,
81,144,80,70.45,,โรงเรียนเรืองวิทย์พิทยาคม,หมู่ที่1 บ้านลานสะเดา,ท่าไม้,พรานกระต่าย,กำแพงเพชร,62110,729,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20010463125,,,,,,,,,,,,,,,,,,,50670.23,#N/A,SJP,เล็ก,,,,,,,,,,,,,,,,,,,,16.7229568,99.441564,File original,,,,,,,,,,,,,,,,,,,,,
82,145,90,86.21,,โรงเรียนลานกระบือวิทยา,100/1 หมู่ 6,ลานกระบือ,ลานกระบือ,กำแพงเพชร,62170,1227,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20009462040,,,,,,,,,,,,,,,,,,,73569.17,#N/A,SJP,เล็ก,,,,,,,,,,,,,,,,,,,,16.5958502,99.8549291,File original,,,,,,,,,,,,,,,,,,,,,
83,146,140,137.92,,โรงเรียนวชิรปราการวิทยาคม,99/5 หมู่ 3,นครชุม,เมืองกำแพงเพชร,กำแพงเพชร,62000,1514,กลาง,สพม.กำแพงเพชร,,กฟน.2,3224,20010656996,สนใจ,,ส่งหนังสือเชิญ,,,,,,#VALUE!,ส่งเอกสารไปรษณีย์,,,หมิง,084-5766484 รองบุญมา,,055-799035,,,,#N/A,#N/A,,นายวันชัย เกิดมีโภชน์,056-713763-4,,,,,,,,,,,Nop,,,1,M000392,,ไม่ซ้ำ,16.4759825,99.510777,File Phat,,,,,,,,,,,,,,,,,,,,,
